agency_name,route_long_name,route_short_name,origin_stop,destiny_stop,time_of_journey
Cablebus,Constitución de 1917 a Santa Marta,2,Constitución de 1917,Quetzalcóatl,00:09:09
Cablebus,Constitución de 1917 a Santa Marta,2,Las Torres Buenavista,Quetzalcóatl,00:04:40
Cablebus,Constitución de 1917 a Santa Marta,2,Las Torres Buenavista,Xalpa,00:04:21
Cablebus,Constitución de 1917 a Santa Marta,2,Lomas de la Estancia,San Miguel Teotongo,00:06:46
Cablebus,Constitución de 1917 a Santa Marta,2,Lomas de la Estancia,Xalpa,00:04:05
Cablebus,Constitución de 1917 a Santa Marta,2,Quetzalcóatl,Constitución de 1917,00:09:09
Cablebus,Constitución de 1917 a Santa Marta,2,Quetzalcóatl,Las Torres Buenavista,00:04:40
Cablebus,Constitución de 1917 a Santa Marta,2,San Miguel Teotongo,Lomas de la Estancia,00:06:46
Cablebus,Constitución de 1917 a Santa Marta,2,San Miguel Teotongo,Santa Marta,00:06:09
Cablebus,Constitución de 1917 a Santa Marta,2,Santa Marta,San Miguel Teotongo,00:06:09
Cablebus,Constitución de 1917 a Santa Marta,2,Xalpa,Las Torres Buenavista,00:04:21
Cablebus,Constitución de 1917 a Santa Marta,2,Xalpa,Lomas de la Estancia,00:04:05
Cablebus,Cuautepec/Tlalpexco a Indios Verdes,1,Campos Revolución,Cuautepec,00:07:37
Cablebus,Cuautepec/Tlalpexco a Indios Verdes,1,Campos Revolución,La Pastora,00:05:24
Cablebus,Cuautepec/Tlalpexco a Indios Verdes,1,Campos Revolución,Tlalpexco,00:06:16
Cablebus,Cuautepec/Tlalpexco a Indios Verdes,1,Cuautepec,Campos Revolución,00:07:37
Cablebus,Cuautepec/Tlalpexco a Indios Verdes,1,Indios Verdes,Santa María Ticomán,00:07:33
Cablebus,Cuautepec/Tlalpexco a Indios Verdes,1,La Pastora,Campos Revolución,00:05:24
Cablebus,Cuautepec/Tlalpexco a Indios Verdes,1,La Pastora,Santa María Ticomán,00:07:07
Cablebus,Cuautepec/Tlalpexco a Indios Verdes,1,Santa María Ticomán,Indios Verdes,00:07:33
Cablebus,Cuautepec/Tlalpexco a Indios Verdes,1,Santa María Ticomán,La Pastora,00:07:07
Cablebus,Cuautepec/Tlalpexco a Indios Verdes,1,Tlalpexco,Campos Revolución,00:06:16
Cablebus,Los Pinos/Constituyentes a Vasco de Quiroga,3,Charrería,PARCUR/Colegio de Arquitectos,00:04:05
Cablebus,Los Pinos/Constituyentes a Vasco de Quiroga,3,Charrería,Panteón Dolores,00:04:05
Cablebus,Los Pinos/Constituyentes a Vasco de Quiroga,3,Cineteca Nacional/Bodega de Arte,PARCUR/Colegio de Arquitectos,00:04:05
Cablebus,Los Pinos/Constituyentes a Vasco de Quiroga,3,Cineteca Nacional/Bodega de Arte,Vasco de Quiroga,00:04:05
Cablebus,Los Pinos/Constituyentes a Vasco de Quiroga,3,Los Pinos Constituyentes,Panteón Dolores,00:04:05
Cablebus,Los Pinos/Constituyentes a Vasco de Quiroga,3,PARCUR/Colegio de Arquitectos,Charrería,00:04:05
Cablebus,Los Pinos/Constituyentes a Vasco de Quiroga,3,PARCUR/Colegio de Arquitectos,Cineteca Nacional/Bodega de Arte,00:04:05
Cablebus,Los Pinos/Constituyentes a Vasco de Quiroga,3,Panteón Dolores,Charrería,00:04:05
Cablebus,Los Pinos/Constituyentes a Vasco de Quiroga,3,Panteón Dolores,Los Pinos Constituyentes,00:04:05
Cablebus,Los Pinos/Constituyentes a Vasco de Quiroga,3,Vasco de Quiroga,Cineteca Nacional/Bodega de Arte,00:04:05
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. e Ingenieros Militares,Blvd. Manuel Avila C. y Reyes Espinola,00:02:48
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y Antonio Velázquez,Blvd. Manuel Avila C. y Parque de Chapultepec,00:00:30
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y Av. Conscripto,Blvd. Manuel Avila C. y Calz. Legaria,00:01:26
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y Av. Ejército Nacional,Blvd. Manuel Avila C. y Legaria,00:01:26
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y Av. de Horacio,Blvd. Manuel Avila C. y Homero,00:00:40
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y Calle 3,Blvd. Manuel Avila C. y Las Torres y 1 de Mayo,00:01:53
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y Calz. Legaria,Blvd. Manuel Avila C. y Ejército Nacional,00:01:31
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y Campos Eliseos,Blvd. Manuel Avila C. y Priv. de Horacio,00:01:28
Corredores Concesionados,1ro de Mayo - Chapultepec,18B,Blvd. Manuel Avila C. y Ejército Nacional,Blvd. Manuel Avila C. y García Conde,00:01:46
