texto,etiqueta,explicacion,label_id
Oferta para mecánico — mujeres abstenerse.,sesgo_genero_masculino,"Ordena a las mujeres que no postulen, lo que constituye una exclusión basada en género.",0
Se requiere personal de seguridad: candidatos masculinos.,sesgo_genero_masculino,"Solicita explícitamente candidatos masculinos para seguridad, excluyendo a mujeres y otras identidades.",0
Buscamos técnico electrónico: solo candidatos varones.,sesgo_genero_masculino,"Limita la candidatura a varones, lo que constituye discriminación por género en la oferta laboral.",0
Se necesita técnico de mantenimiento (solo caballeros).,sesgo_genero_masculino,"Uso de 'caballeros' excluye explícitamente a mujeres, imponiendo un requisito de género.",0
Contratamos vendedor: idealmente un hombre carismático.,sesgo_genero_masculino,"Se expresa preferencia por un 'hombre', vinculando habilidades comerciales a un género específico.",0
Oferta: conductor de camión - candidatos hombres preferidos.,sesgo_genero_masculino,La preferencia por 'hombres' discrimina a posibles candidatas femeninas para el puesto.,0
Se requiere fontanero; se aceptan solo varones con experiencia.,sesgo_genero_masculino,Indicaciones de 'solo varones' excluyen mujeres y constituyen un requisito de género injustificado.,0
Buscamos gerente con perfil masculino para liderar equipo mixto.,sesgo_genero_masculino,"Pedir un 'perfil masculino' impone características de género para el liderazgo, favoreciendo a hombres.",0
Se busca recepcionista (solo varones).,sesgo_genero_masculino,"Requiere explícitamente solo varones, excluyendo a mujeres y otras identidades de género.",0
"Se busca operario de fábrica, hombres preferentemente.",sesgo_genero_masculino,"Expresa preferencia por candidatos masculinos, discriminando por género.",0
Solicitamos conductor de camión — solo hombres con experiencia.,sesgo_genero_masculino,"Indica que únicamente se considerarán hombres, exclusión directa por género.",0
Buscamos guardias de seguridad: hombres fuertes.,sesgo_genero_masculino,"Combina especificación de género con estereotipo físico masculino, favoreciendo a hombres.",0
Se busca personal masculino para trabajo en bodega.,sesgo_genero_masculino,Excluye explícitamente a mujeres al indicar que el personal debe ser masculino.,0
Preferimos candidatos hombres para puesto de seguridad.,sesgo_genero_masculino,"Indica preferencia por hombres, lo que discrimina a solicitantes de otros géneros.",0
Se requiere conductor varón con experiencia.,sesgo_genero_masculino,"Solicita específicamente 'varón', excluyendo a mujeres y otros géneros.",0
Vacante exclusiva para caballeros con presencia impecable.,sesgo_genero_masculino,Uso de 'caballeros' y exclusividad que limita la oferta a hombres.,0
"Auxiliar de bodega: hombres jóvenes, resistentes.",sesgo_genero_masculino,"Solicita específicamente 'hombres jóvenes', asociando el trabajo a características físicas masculinas y excluyendo mujeres.",0
Marketing: puesto para hombre con carácter asertivo.,sesgo_genero_masculino,"Aclara que el puesto es 'para hombre', aplicando una preferencia de género explícita.",0
"Se ofrece puesto de seguridad, destinado a varones.",sesgo_genero_masculino,"Declara que el puesto está 'destinado a varones', discriminando por sexo.",0
Solicitamos técnico mecánico (solo varón).,sesgo_genero_masculino,La indicación 'solo varón' excluye a candidatas femeninas de forma explícita.,0
Vacante: vendedor puerta a puerta — candidatos masculinos.,sesgo_genero_masculino,"Especifica 'candidatos masculinos', mostrando una clara preferencia por hombres.",0
Administrador de obra: buscamos hombres con carácter y autoridad.,sesgo_genero_masculino,Relaciona rasgos de autoridad con los hombres y solicita específicamente candidatos masculinos.,0
Auxiliar de bodega — convocamos solo a varones por turno nocturno.,sesgo_genero_masculino,"Exclusión explícita de mujeres ('solo a varones') bajo la justificación del turno, mostrando discriminación de género.",0
Se busca ingeniero de sistemas (solo hombres).,sesgo_genero_masculino,Excluye explícitamente a las mujeres indicando que solo se aceptan hombres.,0
Oferta para vendedores: se prefieren candidatos masculinos.,sesgo_genero_masculino,"Manifiesta una preferencia de género hacia candidatos masculinos, discriminando a mujeres.",0
Se busca conductor — solo hombres.,sesgo_genero_masculino,Excluye explícitamente a las mujeres al indicar que solo se aceptan hombres.,0
Vacante para técnico de mantenimiento: se prefiere candidato varón por fuerza física.,sesgo_genero_masculino,Prefiere hombres basándose en una suposición estereotipada sobre la fuerza física.,0
Empresa busca comercial con perfil competitivo (hombres preferidos).,sesgo_genero_masculino,"Indica preferencia por hombres para el puesto, favoreciendo un género sobre otro.",0
"Se requiere vigilante nocturno, hombres entre 25-40 años.",sesgo_genero_masculino,Solicita específicamente hombres y limita por género en la oferta.,0
Necesitamos mecánico: solo masculino.,sesgo_genero_masculino,Excluye a candidatas mujeres al exigir que el puesto sea ocupado por un hombre.,0
Buscamos repartidor: candidatos masculinos.,sesgo_genero_masculino,Especifica el género masculino como requisito para el puesto.,0
Necesitamos comerciales agresivos; perfil masculino.,sesgo_genero_masculino,Vincula un rasgo profesional (agresividad) con el sexo masculino y pide ese perfil específicamente.,0
Buscamos un jefe de ventas — hombres con liderazgo.,sesgo_genero_masculino,Asocia liderazgo con hombres y dirige la oferta solo a candidatos masculinos.,0
Preferible candidato masculino con experiencia en construcción.,sesgo_genero_masculino,"Indica preferencia por el sexo masculino, reforzando un sesgo en la selección.",0
Se busca hombre para puesto de seguridad nocturna.,sesgo_genero_masculino,"Requiere explícitamente 'hombre', excluye a las mujeres y otros géneros.",0
Se requieren jóvenes varones para trabajo de mudanzas.,sesgo_genero_masculino,"Demanda específicamente 'varones', favorece a hombres y discrimina por género.",0
Se necesita conductor (solo varones).,sesgo_genero_masculino,"Reclutamiento restringido a varones mediante la cláusula 'solo varones', discriminando por género.",0
Se solicita asistente personal masculino.,sesgo_genero_masculino,"Especifica que el asistente debe ser masculino, excluyendo expresamente a mujeres.",0
"Se requiere guardia de seguridad, hombres entre 25 y 40 años.",sesgo_genero_masculino,"Exige específicamente que los postulantes sean hombres, imponiendo un criterio de género.",0
Vacante: gerente de ventas. Preferiblemente varón.,sesgo_genero_masculino,"Expresa una preferencia por candidatos varones, favoreciendo el género masculino.",0
"Se busca recepcionista, preferentemente hombre.",sesgo_genero_masculino,"Expresa una preferencia explícita por candidatos masculinos, excluyendo implícitamente a mujeres.",0
Buscamos programador; se priorizarán candidatos masculinos.,sesgo_genero_masculino,"Declara que se dará prioridad a postulantes masculinos, señalando una preferencia de género.",0
Se necesita asistente con carácter varonil y presencia imponente.,sesgo_genero_masculino,"Asocia cualidades deseadas al género masculino, favoreciendo a hombres y excluyendo a otras identidades.",0
"Se busca recepcionista, solo hombres.",sesgo_genero_masculino,"Indica explícitamente que únicamente se aceptan candidatos hombres, excluyendo a mujeres.",0
Buscamos vendedor con perfil masculino y buena presencia.,sesgo_genero_masculino,"Requiere un 'perfil masculino', favoreciendo a hombres y asociando aptitudes a un género.",0
Mujeres abstenerse — puesto para operarios hombres.,sesgo_genero_masculino,"Exhorta explícitamente a mujeres a no postularse y declara el puesto destinado a hombres, constituyendo sesgo claro.",0
"Oferta: montador, candidato masculino.",sesgo_genero_masculino,"Indica que el candidato debe ser masculino, manifestando sesgo de género.",0
"Necesitamos un contable, hombres entre 25 y 40 años.",sesgo_genero_masculino,Limita el puesto por género indicando que solo se buscan hombres de cierta edad.,0
Chofer hombre con experiencia en camión de carga.,sesgo_genero_masculino,"Especifica el requisito de ser hombre para el cargo, excluyendo a candidatas femeninas.",0
Guardia de seguridad: solo varones.,sesgo_genero_masculino,Declara explícitamente que el puesto está reservado únicamente para varones.,0
Se solicita personal masculino para trabajos de mudanza.,sesgo_genero_masculino,"Requiere personal masculino, lo que discrimina a posibles candidatas mujeres.",0
"Buscamos un ejecutivo comercial, perfil agresivo y masculino.",sesgo_genero_masculino,Asocia rasgos de desempeño con la masculinidad y limita el perfil deseado a lo masculino.,0
Puesto para jefe de taller — preferiblemente hombre.,sesgo_genero_masculino,Expresa una preferencia de género por hombres para el cargo de liderazgo.,0
Auxiliar de mantenimiento (exclusivo para caballeros).,sesgo_genero_masculino,Utiliza lenguaje que excluye a las mujeres al indicar exclusividad para caballeros.,0
"Se contrata encargado de obra, solo hombres capacitados.",sesgo_genero_masculino,"Restringe el proceso de selección a hombres, impidiendo la postulación femenina.",0
Se busca recepcionista: sólo hombres.,sesgo_genero_masculino,"Excluye explícitamente a mujeres al indicar 'sólo hombres', especificando el género masculino.",0
"Vacante chofer, preferiblemente varón.",sesgo_genero_masculino,"Indica preferencia por candidatos varones, lo que constituye discriminación de género.",0
Se necesita guardia de seguridad para hombres.,sesgo_genero_masculino,"Requiere explícitamente 'para hombres', excluyendo a otras identidades de género.",0
Buscamos vendedor: hombres 25-35 años.,sesgo_genero_masculino,"Especifica edad y género masculino ('hombres'), indicativo de sesgo de género.",0
Puesto mecánico: solo para hombres.,sesgo_genero_masculino,La frase 'solo para hombres' excluye a mujeres y muestra preferencia por masculinidad.,0
Se solicita vendedor fuerte y masculino.,sesgo_genero_masculino,"Asocia características físicas y la palabra 'masculino', favoreciendo candidatos hombres.",0
Oferta: enfermero masculino para turno noche.,sesgo_genero_masculino,"Especifica 'masculino', limitando el puesto a hombres y generando sesgo.",0
Chofer de camión — se requiere hombre responsable.,sesgo_genero_masculino,"Indica que el candidato debe ser hombre, imponiendo una restricción de género.",0
Se busca chico para puesto de seguridad.,sesgo_genero_masculino,"Uso explícito del término 'chico', excluye o prioriza a candidatos masculinos.",0
Solo hombres: operario de planta.,sesgo_genero_masculino,Indica exclusión explícita de mujeres mediante 'solo hombres'.,0
Preferible candidato masculino con experiencia en construcción.,sesgo_genero_masculino,Se expresa una preferencia por personas de género masculino en el requisito.,0
Buscamos un jefe de equipo (solo varones).,sesgo_genero_masculino,La aclaración 'solo varones' establece una restricción por género.,0
"Se necesita chofer varón, mayor de 25 años.",sesgo_genero_masculino,El uso de 'varón' especifica que solo se aceptan hombres para la posición.,0
Se requiere técnico masculino para turno nocturno.,sesgo_genero_masculino,La frase 'técnico masculino' excluye o prioriza a hombres para el puesto.,0
"Oferta para hombre joven, dinámico y fuerte.",sesgo_genero_masculino,Describe requisitos asociados a estereotipos masculinos y pide 'hombre'.,0
Contratamos personal masculino para fuerza de ventas puerta a puerta.,sesgo_genero_masculino,"Se especifica 'masculino', favoreciendo candidatos de género masculino.",0
Vacante: ayudante mecánico (hombres preferidos).,sesgo_genero_masculino,La nota 'hombres preferidos' indica preferencia por candidatos masculinos.,0
Se busca caballero para atención al cliente en tienda.,sesgo_genero_masculino,El término 'caballero' implica que se espera un candidato de género masculino.,0
"Se busca recepcionista, sólo hombres.",sesgo_genero_masculino,Excluye explícitamente a las mujeres al indicar 'sólo hombres'.,0
Buscamos chico para trabajo de mudanzas.,sesgo_genero_masculino,Uso de 'chico' que solicita específicamente candidatos masculinos.,0
Solicitamos vendedor varón con actitud fuerte.,sesgo_genero_masculino,"Emplea 'varón' y adjetivos asociados a estereotipos masculinos, excluyendo mujeres.",0
Empresa busca jefe de obra (preferentemente hombres).,sesgo_genero_masculino,Preferencia explícita por hombres en la contratación del puesto.,0
"Se requiere seguridad masculino, sin excepciones.",sesgo_genero_masculino,"Exige el sexo masculino de forma absoluta, excluyendo a otras identidades de género.",0
Se necesita cajero: hombres entre 25 y 35 años.,sesgo_genero_masculino,"Especifica explícitamente que el puesto es para hombres, excluyendo a mujeres y a otras identidades de género.",0
"Oficial de seguridad: se valorará la fuerza física, hombres preferidos.",sesgo_genero_masculino,"Justifica una preferencia por hombres basándose en estereotipos físicos, lo que discrimina por género.",0
Buscamos un asistente administrativo (solo varones).,sesgo_genero_masculino,El requisito 'solo varones' excluye explícitamente a mujeres y demás identidades de género.,0
Se requiere conductor (solo para hombres).,sesgo_genero_masculino,"Indica de forma explícita que el puesto está reservado a hombres, lo que constituye discriminación de género.",0
"Empleado ideal: enérgico, competitivo y dominante.",sesgo_genero_masculino,Emplea adjetivos culturalmente asociados a la masculinidad que pueden desalentar a candidatas mujeres.,0
Puesto de ventas: buscamos chicos jóvenes y dinámicos.,sesgo_genero_masculino,El uso de 'chicos' y la focalización en jóvenes masculinos favorece la selección de hombres sobre mujeres.,0
Jefe de obra: candidatos masculinos con liderazgo fuerte.,sesgo_genero_masculino,"Solicita explícitamente candidatos masculinos, asociando liderazgo con el género masculino y excluyendo a otras identidades.",0
