texto,etiqueta,explicacion,label_id
Se solicita auxiliar administrativo (solo varones).,sesgo_genero_masculino,"Indica que únicamente se aceptan varones, una discriminación directa por género.",0
"Se necesita chofer: hombre responsable, 30-45 años.",sesgo_genero_masculino,"Solicita específicamente un hombre para el puesto, condicionando la selección por género.",0
Se buscan operarios para montaje. Hombres preferidos.,sesgo_genero_masculino,"Manifiesta una preferencia por hombres para el puesto, lo que constituye un sesgo de género.",0
Puesto de portero nocturno: se pide personal masculino.,sesgo_genero_masculino,"Solicita explícitamente personal masculino para el puesto, excluyendo a otras identidades de género.",0
Equipo de mudanzas: solo hombres fuertes.,sesgo_genero_masculino,"Exige que los postulantes sean hombres, ligando el trabajo físico únicamente al género masculino.",0
Se busca supervisor con presencia masculina.,sesgo_genero_masculino,"Requiere rasgos asociados a la masculinidad para el puesto, favoreciendo a los hombres.",0
Necesitamos comerciales agresivos; perfil masculino.,sesgo_genero_masculino,Vincula un rasgo profesional (agresividad) con el sexo masculino y pide ese perfil específicamente.,0
Oferta para mecánico — mujeres abstenerse.,sesgo_genero_masculino,"Ordena a las mujeres que no postulen, lo que constituye una exclusión basada en género.",0
Se requiere personal de seguridad: candidatos masculinos.,sesgo_genero_masculino,"Solicita explícitamente candidatos masculinos para seguridad, excluyendo a mujeres y otras identidades.",0
Buscamos técnico electrónico: solo candidatos varones.,sesgo_genero_masculino,"Limita la candidatura a varones, lo que constituye discriminación por género en la oferta laboral.",0
Se busca recepcionista: hombres preferidos.,sesgo_genero_masculino,"Expresa preferencia explícita por hombres para el puesto, excluyendo o desalentando a otras identidades de género.",0
Buscamos un jefe fuerte y decidido (solo hombres).,sesgo_genero_masculino,Asocia cualidades de liderazgo solo a hombres y limita el puesto a ese género.,0
Vacante: conductor — solo se contratan varones.,sesgo_genero_masculino,"Indica contratación exclusiva de varones, una discriminación directa por género.",0
Gerente de obra: se buscan hombres con experiencia.,sesgo_genero_masculino,"El anuncio pide 'hombres', lo que representa una preferencia de género.",0
Cajero varón para turno nocturno.,sesgo_genero_masculino,"Indica 'varón', excluyendo a candidatas mujeres y mostrando discriminación por género.",0
"Se busca administrativo, solo hombres.",sesgo_genero_masculino,"Exige explícitamente que solo hombres puedan postular, excluyendo a personas de otros géneros.",0
Vacante: recepcionista (hombre).,sesgo_genero_masculino,Indica entre paréntesis que buscan específicamente a un hombre para el puesto.,0
Se necesita conductor varón con experiencia.,sesgo_genero_masculino,"Usa el término 'varón', señalando preferencia por candidatos masculinos.",0
"Solicitamos vendedor, preferentemente masculino.",sesgo_genero_masculino,Expresa una preferencia explícita por personas de género masculino.,0
Buscamos ingeniero de software (sexo masculino).,sesgo_genero_masculino,"Especifica el 'sexo masculino' como requisito, discriminando por género.",0
Puesto de seguridad: solo para personal masculino.,sesgo_genero_masculino,"Restringe el puesto únicamente a personal masculino, excluyendo a otros géneros.",0
Camarero: se solicita chico joven.,sesgo_genero_masculino,"Recluta usando 'chico', indicando preferencia por candidatos masculinos jóvenes.",0
"Se requiere jefe de obra, hombres con liderazgo.",sesgo_genero_masculino,"Menciona explícitamente 'hombres', favoreciendo candidatos masculinos para el cargo.",0
Trabajo en obra: candidatos varones únicamente.,sesgo_genero_masculino,"Limita la postulación solo a varones, constituyendo discriminación por género.",0
"Oferta: montador, candidato masculino.",sesgo_genero_masculino,"Indica que el candidato debe ser masculino, manifestando sesgo de género.",0
"Necesitamos un contable, hombres entre 25 y 40 años.",sesgo_genero_masculino,Limita el puesto por género indicando que solo se buscan hombres de cierta edad.,0
Chofer hombre con experiencia en camión de carga.,sesgo_genero_masculino,"Especifica el requisito de ser hombre para el cargo, excluyendo a candidatas femeninas.",0
Guardia de seguridad: solo varones.,sesgo_genero_masculino,Declara explícitamente que el puesto está reservado únicamente para varones.,0
Se solicita personal masculino para trabajos de mudanza.,sesgo_genero_masculino,"Requiere personal masculino, lo que discrimina a posibles candidatas mujeres.",0
"Buscamos un ejecutivo comercial, perfil agresivo y masculino.",sesgo_genero_masculino,Asocia rasgos de desempeño con la masculinidad y limita el perfil deseado a lo masculino.,0
Puesto para jefe de taller — preferiblemente hombre.,sesgo_genero_masculino,Expresa una preferencia de género por hombres para el cargo de liderazgo.,0
Auxiliar de mantenimiento (exclusivo para caballeros).,sesgo_genero_masculino,Utiliza lenguaje que excluye a las mujeres al indicar exclusividad para caballeros.,0
"Se contrata encargado de obra, solo hombres capacitados.",sesgo_genero_masculino,"Restringe el proceso de selección a hombres, impidiendo la postulación femenina.",0
Se busca recepcionista: sólo hombres.,sesgo_genero_masculino,"Excluye explícitamente a mujeres al indicar 'sólo hombres', especificando el género masculino.",0
"Vacante chofer, preferiblemente varón.",sesgo_genero_masculino,"Indica preferencia por candidatos varones, lo que constituye discriminación de género.",0
Se necesita guardia de seguridad para hombres.,sesgo_genero_masculino,"Requiere explícitamente 'para hombres', excluyendo a otras identidades de género.",0
Buscamos vendedor: hombres 25-35 años.,sesgo_genero_masculino,"Especifica edad y género masculino ('hombres'), indicativo de sesgo de género.",0
Puesto mecánico: solo para hombres.,sesgo_genero_masculino,La frase 'solo para hombres' excluye a mujeres y muestra preferencia por masculinidad.,0
Se solicita vendedor fuerte y masculino.,sesgo_genero_masculino,"Asocia características físicas y la palabra 'masculino', favoreciendo candidatos hombres.",0
Oferta: enfermero masculino para turno noche.,sesgo_genero_masculino,"Especifica 'masculino', limitando el puesto a hombres y generando sesgo.",0
Se requiere estilista masculino.,sesgo_genero_masculino,La exigencia de 'masculino' excluye a estilistas de otros géneros.,0
"Vacante: soldador — candidatos hombres, imprescindible fuerza y resistencia.",sesgo_genero_masculino,"Indica preferencia por hombres usando criterios físicos, lo que puede excluir a mujeres capacitadas.",0
Buscamos entrenador físico masculino para equipo deportivo.,sesgo_genero_masculino,"Especifica que el entrenador debe ser masculino, excluyendo a entrenadoras y mostrando sesgo de género.",0
Se requiere montador industrial — hombres preferidos por horario intensivo.,sesgo_genero_masculino,"Justifica la preferencia por hombres con estereotipo sobre disponibilidad horaria, discriminando a mujeres.",0
Oferta: vendedor puerta a puerta — se priorizarán candidatos varones.,sesgo_genero_masculino,"Declara priorización de varones, favoreciendo candidatos masculinos y generando discriminación de género.",0
Se busca hombre para puesto de seguridad.,sesgo_genero_masculino,"Solicita explícitamente 'hombre', excluyendo a mujeres y mostrando preferencia de género.",0
Vacante: operario — preferentemente varón.,sesgo_genero_masculino,"Indica una preferencia por 'varón', lo que constituye sesgo de género en la selección.",0
"Necesitamos un líder fuerte y decidido, hombres con experiencia.",sesgo_genero_masculino,"Combina la petición explícita de 'hombres' con estereotipos de masculinidad ('fuerte'), excluyendo a otras identidades.",0
"Buscamos un comercial: atractivo, enérgico y con presencia masculina.",sesgo_genero_masculino,"Requiere 'presencia masculina', favoreciendo rasgos asociados a hombres y discriminando a mujeres.",0
Puesto para técnico: solo para candidatos masculinos.,sesgo_genero_masculino,"Exclusión explícita ('solo para... masculinos'), prohibiendo la postulación de mujeres.",0
Se valorará a hombres con habilidades físicas para carga y descarga.,sesgo_genero_masculino,Asocia la capacidad física al género masculino y sitúa a los hombres como preferidos para la tarea.,0
Se requiere conductor: varón de entre 25 y 45 años.,sesgo_genero_masculino,"Especifica 'varón' en los requisitos, introduciendo discriminación por género.",0
Equipo de ventas busca chicos extrovertidos y competitivos.,sesgo_genero_masculino,"Usa 'chicos', dirigiendo la oferta a hombres y excluyendo verbalmente a mujeres.",0
Administrador de obra: buscamos hombres con carácter y autoridad.,sesgo_genero_masculino,Relaciona rasgos de autoridad con los hombres y solicita específicamente candidatos masculinos.,0
Auxiliar de bodega — convocamos solo a varones por turno nocturno.,sesgo_genero_masculino,"Exclusión explícita de mujeres ('solo a varones') bajo la justificación del turno, mostrando discriminación de género.",0
Se busca ingeniero de sistemas (solo hombres).,sesgo_genero_masculino,Excluye explícitamente a las mujeres indicando que solo se aceptan hombres.,0
