texto,etiqueta,explicacion,label_id
"Se busca recepcionista, preferentemente hombre.",sesgo_genero_masculino,"Expresa una preferencia explícita por candidatos masculinos, excluyendo implícitamente a mujeres.",0
Se solicita auxiliar administrativo (solo varones).,sesgo_genero_masculino,"Indica que únicamente se aceptan varones, una discriminación directa por género.",0
Buscamos vendedor con perfil masculino y buena presencia.,sesgo_genero_masculino,"Requiere un 'perfil masculino', favoreciendo a hombres y asociando aptitudes a un género.",0
Puestos de seguridad: solo apto para hombres.,sesgo_genero_masculino,"Excluye explícitamente a mujeres del puesto, indicando sesgo hacia candidatos masculinos.",0
"Se necesita chofer: hombre responsable, 30-45 años.",sesgo_genero_masculino,"Solicita específicamente un hombre para el puesto, condicionando la selección por género.",0
Equipo de obras: se requiere personal masculino para trabajo pesado.,sesgo_genero_masculino,"Asume que solo los hombres pueden realizar trabajo pesado, excluyendo a mujeres por estereotipo de género.",0
Se busca líder de taller (hombre preferido).,sesgo_genero_masculino,Manifiesta una preferencia por candidatos masculinos para un rol de liderazgo.,0
Vacante para técnico: se valora actitud masculina.,sesgo_genero_masculino,Valorar una 'actitud masculina' implica preferencia por rasgos asociados a hombres y discrimina por género.,0
Se necesita asistente con carácter varonil y presencia imponente.,sesgo_genero_masculino,"Asocia cualidades deseadas al género masculino, favoreciendo a hombres y excluyendo a otras identidades.",0
Mujeres abstenerse — puesto para operarios hombres.,sesgo_genero_masculino,"Exhorta explícitamente a mujeres a no postularse y declara el puesto destinado a hombres, constituyendo sesgo claro.",0
"Se busca secretaria para oficina, mujeres preferentemente.",sesgo_genero_femenino,Favorece explícitamente a mujeres para el puesto por motivos de género.,1
Necesitamos recepcionista (solo mujeres).,sesgo_genero_femenino,Excluye a candidatos masculinos indicando que solo se aceptan mujeres.,1
Se solicita enfermera con experiencia.,sesgo_genero_femenino,Uso del término femenino que implica preferencia de género para el puesto.,1
Asistente de ventas — preferiblemente mamá joven.,sesgo_genero_femenino,"Dirigido a mujeres (madres), introduciendo una preferencia de género y rol familiar.",1
